timestamp_start,timestamp_end,target,ip_protocol,packet_loss,packets_send,ping_avg,ping_worst,ping_best,ping_stddev,average_speed
2024-02-26 14:37:47,2024-02-26 14:38:12,131.173.23.81,v4,0.4,250,53.582,83.421,41.736,6.636,0
2024-02-26 14:38:42,2024-02-26 14:39:07,131.173.23.81,v4,0,250,58.531,73.122,44.161,5.702,0
2024-02-26 14:39:37,2024-02-26 14:40:02,131.173.23.81,v4,0,250,50.482,66.809,43.653,3.805,0
2024-02-26 14:59:09,2024-02-26 14:59:34,131.173.23.81,v4,2.8,250,60.618,87.678,48.771,6.481,0
2024-02-26 15:00:35,2024-02-26 15:01:00,131.173.23.81,v4,0,250,50.751,101.811,43.694,6.867,0
2024-02-26 15:01:58,2024-02-26 15:02:23,131.173.23.81,v4,0,250,53.708,93.149,43.342,6.131,15.2924441971123
2024-02-26 15:02:53,2024-02-26 15:03:18,131.173.23.81,v4,3.2,250,52.07,90.545,43.413,6.942,35.4681223076819
2024-02-26 15:03:49,2024-02-26 15:04:14,131.173.23.81,v4,1.2,250,58.314,219.68,43.793,13.607,36.7853966248401
2024-02-26 15:04:44,2024-02-26 15:05:09,131.173.23.81,v4,1.2,250,58.987,105.299,45.388,8.587,34.2934875057823
2024-02-26 15:05:40,2024-02-26 15:06:05,131.173.23.81,v4,0.4,250,51.393,112.543,43.092,6.772,22.9629466582004
2024-02-26 15:06:35,2024-02-26 15:07:00,131.173.23.81,v4,1.6,250,51.511,118.836,43.563,8.581,32.6778742345759
2024-02-26 15:08:01,2024-02-26 15:08:26,131.173.23.81,v4,0.8,250,57.666,84.847,44.65,6.865,50.4168810902624
2024-02-26 15:09:26,2024-02-26 15:09:51,131.173.23.81,v4,48.8,250,55.551,290.054,46.541,24.346,6.72637419109322
2024-02-26 15:10:21,2024-02-26 15:10:46,131.173.23.81,v4,0.8,250,53.834,94.951,45.841,6.606,18.7644746628729
2024-02-26 15:11:17,2024-02-26 15:11:42,131.173.23.81,v4,4.8,250,64.758,108.134,49.271,7.975,27.7777193130078
2024-02-26 15:12:12,2024-02-26 15:12:37,131.173.23.81,v4,0.8,250,55.251,95.254,46.419,5.135,14.3925994282581
2024-02-26 15:13:08,2024-02-26 15:13:33,131.173.23.81,v4,5.2,250,54.928,412.504,43.613,33.477,18.0609578520136
2024-02-26 15:17:17,2024-02-26 15:17:42,131.173.23.81,v4,2.4,250,57.106,113.501,42.618,12.977,12.8216354379252
2024-02-26 15:18:18,2024-02-26 15:18:43,131.173.23.81,v4,50.4,250,56.498,69.91,47.243,4.341,19.4769880551673
2024-02-26 15:19:13,2024-02-26 15:19:38,131.173.23.81,v4,2.4,250,61.461,259.086,47.025,16.644,52.55975750197
2024-02-26 15:21:29,2024-02-26 15:21:54,131.173.23.81,v4,0,250,53.847,115.871,44.429,7.398,0
2024-02-26 15:22:24,2024-02-26 15:22:49,131.173.23.81,v4,0.4,250,52.321,129.116,43.109,9.505,0
2024-02-26 15:23:19,2024-02-26 15:23:44,131.173.23.81,v4,1.6,250,52.482,87.437,42.989,5.253,0
